Dataset,Candidate Size,Seeds,Reward Mean,Reward SD,Target Selection Rate,Target Selection Rate SD,Exploration Rate,Exploration Rate SD,Mean Selected Uncertainty,Mean Beta
Amazon,20,5,0.8872291816443404,0.0012242746915557,0.124654,0.004531239344815,0.137542,0.0024421138384604,0.0088697945855194,0.2985618732522977
Amazon,50,5,0.9021268267286184,0.0019628377766383,0.0652819999999999,0.002056373020636,0.164246,0.002155221566336,0.00848806821428,0.2990481725919156
Amazon,100,5,0.9090358866583812,0.0020199682795279,0.039902,0.0004166773331968,0.190042,0.006318256879868,0.0082362981516369,0.2991856572381614
Amazon,200,5,0.914741404520982,0.002458994964554,0.0239,0.0008221617845655,0.217952,0.0069263749537546,0.0079928186897134,0.2992644721014961
KuaiRand,20,5,0.1449348032691622,0.0042364219095017,0.0501960784313725,0.0019444635794561,0.0795968480850284,0.0031501458911466,0.0077119429347104,0.251521953502382
KuaiRand,50,5,0.1616217336395511,0.0072238759391887,0.018728238959135,0.0008815109745871,0.0939490562580172,0.0058276427538906,0.0075787361222671,0.2516882489573205
KuaiRand,100,5,0.1846786197764516,0.0103421846403738,0.00919919369617,0.0006342704159749,0.1020560747663551,0.0134879761346874,0.007370047974636,0.2517380377378119
KuaiRand,200,5,0.1898730598414303,0.0127830190470475,0.0044933113432288,0.0004559965113431,0.1015503023639362,0.0192359548120439,0.0071047205364968,0.2517575880930537
