Dataset,num_seeds,samples_per_seed,hit@1_mean,hit@1_std,hit@5_mean,hit@5_std,hit@10_mean,hit@10_std,ndcg@10_mean,ndcg@10_std,mrr_mean,mrr_std
Amazon,5,100000,0.031988,0.0012934720715964,0.1176779999999999,0.001184174818175,0.199424,0.0002216528817768,0.1009507983751983,0.0007753964675162,0.0955145290989447,0.0009437859272404
KuaiRand,5,27285,0.0093677844969763,0.0008323705589888,0.048957302547187,0.0013657784617354,0.1014183617372182,0.0007887880404509,0.0454112208715532,0.0003586595151406,0.0513434831233295,0.0005693504531799
