Dataset,MC Samples,Candidate Size,Seeds,Reward Mean,Reward SD,Target Selection Rate,Target Selection Rate SD,Exploration Rate,Exploration Rate SD,Mean Selected Prediction,Mean Selected Uncertainty,Mean Beta
Amazon,5,100,5,0.9090155102966512,0.0014566339062679,0.041344,0.000545325590817,0.2074679999999999,0.0048044219215218,0.9026524372336416,0.0073788699702984,0.2886070563301249
Amazon,10,100,5,0.9105503443094212,0.0030010865803449,0.0397179999999999,0.000750613082753,0.192098,0.0051132250097174,0.9024704878103286,0.0082294832038195,0.2991908508788612
Amazon,20,100,5,0.909876387078928,0.00235744736065,0.039234,0.0007333007568521,0.177128,0.0039641543864991,0.9024058970738202,0.0086827398030063,0.3040458481446648
KuaiRand,5,100,5,0.1795051220654923,0.012851825155328,0.0095510353674179,0.0007296054644924,0.1030309693971046,0.009275369116229,0.1906916294464135,0.0068197341817725,0.2425249672504477
KuaiRand,10,100,5,0.1835390536963399,0.0133513481850599,0.0092065237309877,0.0007023076161702,0.1008246289169873,0.0145242008807075,0.1905420685697818,0.0073689139505142,0.251722842970385
KuaiRand,20,100,5,0.1843563355290083,0.0135180348860565,0.0089866226864577,0.0008884927477003,0.0960087960417812,0.0115941943792239,0.1905025909228302,0.0076337030045424,0.2560823934599602
