Dataset,Method,Reward Mean,Reward SD,Target Selection Rate,Target Selection Rate SD,Non-Greedy Selection Rate,Non-Greedy Selection Rate SD,Mean Selected Uncertainty,Mean Beta
Amazon,Transformer-Greedy,0.9104101506734986,0.0023231570667926,0.031988,0.0012934720715964,0.0,0.0,0.0078926833311662,0.0
Amazon,Fixed-Beta-MAB,0.9086310613969036,0.0016336644728821,0.039448,0.0005918783658827,0.216828,0.0053379228169766,0.0083562933046212,0.5
Amazon,Adaptive-MAB,0.9090358866583812,0.0020199682795279,0.039902,0.0004166773331968,0.190042,0.006318256879868,0.008236298151637,0.2991856572381614
KuaiRand,Transformer-Greedy,0.1841051206043651,0.0094440496667238,0.0093677844969763,0.0008323705589888,0.0,0.0,0.0073265708236968,0.0
KuaiRand,Fixed-Beta-MAB,0.1791453415061001,0.0144994626343555,0.0092065237309877,0.0008322898677416,0.1083525746747297,0.0076866521168558,0.0074203196490012,0.5
KuaiRand,Adaptive-MAB,0.1804046755583586,0.0151740863928968,0.0090745831042697,0.0008032159707802,0.0974454828660436,0.0074802906550879,0.0073763033192697,0.2517438946914682
