Dataset,Method,Seeds,Reward Mean,Reward SD,Target Selection Rate,Target Selection Rate SD,Non-Greedy Selection Rate,Non-Greedy Selection Rate SD,Mean Selected Uncertainty,Mean Beta
Amazon,Adaptive-MAB,5,0.909518669343593,0.0026748830138354,0.039572,0.0008866904758708,0.189438,0.0052253200858894,0.0082332575880986,0.2991856197298787
Amazon,Adaptive-MAB-w/o-Uncertainty,5,0.9088096488516464,0.0024394533189719,0.04035,0.0009686588666811,0.157878,0.0044866546557541,0.0080514341387944,0.0
KuaiRand,Adaptive-MAB,5,0.1821548544467268,0.0107961738489732,0.009111233278358,0.0006927755470928,0.0993219717793659,0.0077983526985366,0.0073693431242961,0.251719878899181
KuaiRand,Adaptive-MAB-w/o-Uncertainty,5,0.182283132318654,0.0111316980605372,0.0091845336265347,0.0007240612696816,0.0908118013560564,0.0091432598982818,0.0073256827359181,0.0
